,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1_N,Level1_%,Level2_N,Level2_%,Level3_N,Level3_%,Level4_N,Level4_%,Level3+4_N,Level3+4_%
23,01M019,PS 019 ASHER LEVY,3,2016,All Students,33,316,5,15.2,9,27.3,13,39.4,6,18.2,19,57.6
24,01M019,PS 019 ASHER LEVY,3,2017,All Students,28,313,7,25.0,6,21.4,8,28.6,7,25.0,15,53.6
25,01M019,PS 019 ASHER LEVY,4,2013,All Students,42,289,18,42.9,11,26.2,13,31.0,0,0.0,13,31.0
26,01M019,PS 019 ASHER LEVY,4,2014,All Students,34,316,7,20.6,8,23.5,10,29.4,9,26.5,19,55.9
27,01M019,PS 019 ASHER LEVY,4,2015,All Students,32,322,4,12.5,6,18.8,11,34.4,11,34.4,22,68.8
28,01M019,PS 019 ASHER LEVY,4,2016,All Students,28,315,4,14.3,10,35.7,4,14.3,10,35.7,14,50.0
29,01M019,PS 019 ASHER LEVY,4,2017,All Students,29,324,3,10.3,8,27.6,7,24.1,11,37.9,18,62.1
30,01M019,PS 019 ASHER LEVY,5,2013,All Students,36,304,11,30.6,16,44.4,8,22.2,1,2.8,9,25.0
31,01M019,PS 019 ASHER LEVY,5,2014,All Students,35,297,12,34.3,15,42.9,7,20.0,1,2.9,8,22.9
32,01M019,PS 019 ASHER LEVY,5,2015,All Students,30,326,3,10.0,12,40.0,8,26.7,7,23.3,15,50.0
33,01M019,PS 019 ASHER LEVY,5,2016,All Students,32,317,5,15.6,12,37.5,11,34.4,4,12.5,15,46.9
34,01M019,PS 019 ASHER LEVY,5,2017,All Students,27,310,6,22.2,11,40.7,5,18.5,5,18.5,10,37.0
35,01M019,PS 019 ASHER LEVY,All Grades,2013,All Students,114,301,37,32.5,37,32.5,31,27.2,9,7.9,40,35.1
36,01M019,PS 019 ASHER LEVY,All Grades,2014,All Students,104,308,27,26.0,33,31.7,28,26.9,16,15.4,44,42.3
37,01M019,PS 019 ASHER LEVY,All Grades,2015,All Students,90,318,13,14.4,29,32.2,28,31.1,20,22.2,48,53.3
38,01M019,PS 019 ASHER LEVY,All Grades,2016,All Students,93,316,14,15.1,31,33.3,28,30.1,20,21.5,48,51.6
39,01M019,PS 019 ASHER LEVY,All Grades,2017,All Students,84,315,16,19.0,25,29.8,20,23.8,23,27.4,43,51.2
40,01M020,PS 020 ANNA SILVER,3,2013,All Students,79,302,20,25.3,31,39.2,18,22.8,10,12.7,28,35.4
41,01M020,PS 020 ANNA SILVER,3,2014,All Students,97,296,36,37.1,26,26.8,22,22.7,13,13.4,35,36.1
42,01M020,PS 020 ANNA SILVER,3,2015,All Students,92,299,32,34.8,25,27.2,19,20.7,16,17.4,35,38.0
43,01M020,PS 020 ANNA SILVER,3,2016,All Students,76,296,24,31.6,24,31.6,17,22.4,11,14.5,28,36.8
44,01M020,PS 020 ANNA SILVER,3,2017,All Students,82,285,38,46.3,23,28.0,13,15.9,8,9.8,21,25.6
45,01M020,PS 020 ANNA SILVER,4,2013,All Students,75,294,23,30.7,27,36.0,21,28.0,4,5.3,25,33.3
46,01M020,PS 020 ANNA SILVER,4,2014,All Students,65,300,21,32.3,19,29.2,14,21.5,11,16.9,25,38.5
47,01M020,PS 020 ANNA SILVER,4,2015,All Students,92,291,36,39.1,23,25.0,18,19.6,15,16.3,33,35.9
48,01M020,PS 020 ANNA SILVER,4,2016,All Students,71,293,27,38.0,20,28.2,11,15.5,13,18.3,24,33.8
49,01M020,PS 020 ANNA SILVER,4,2017,All Students,69,294,27,39.1,18,26.1,10,14.5,14,20.3,24,34.8
50,01M020,PS 020 ANNA SILVER,5,2013,All Students,77,290,39,50.6,26,33.8,10,13.0,2,2.6,12,15.6
51,01M020,PS 020 ANNA SILVER,5,2014,All Students,71,298,29,40.8,22,31.0,14,19.7,6,8.5,20,28.2
52,01M020,PS 020 ANNA SILVER,5,2015,All Students,59,287,32,54.2,10,16.9,13,22.0,4,6.8,17,28.8
53,01M020,PS 020 ANNA SILVER,5,2016,All Students,73,301,29,39.7,19,26.0,15,20.5,10,13.7,25,34.2
54,01M020,PS 020 ANNA SILVER,5,2017,All Students,57,299,24,42.1,12,21.1,14,24.6,7,12.3,21,36.8
55,01M020,PS 020 ANNA SILVER,All Grades,2013,All Students,231,296,82,35.5,84,36.4,49,21.2,16,6.9,65,28.1
56,01M020,PS 020 ANNA SILVER,All Grades,2014,All Students,233,298,86,36.9,67,28.8,50,21.5,30,12.9,80,34.3
57,01M020,PS 020 ANNA SILVER,All Grades,2015,All Students,243,293,100,41.2,58,23.9,50,20.6,35,14.4,85,35.0
58,01M020,PS 020 ANNA SILVER,All Grades,2016,All Students,220,297,80,36.4,63,28.6,43,19.5,34,15.5,77,35.0
59,01M020,PS 020 ANNA SILVER,All Grades,2017,All Students,208,292,89,42.8,53,25.5,37,17.8,29,13.9,66,31.7
60,01M034,PS 034 FRANKLIN D ROOSEVELT,3,2013,All Students,39,292,14,35.9,13,33.3,9,23.1,3,7.7,12,30.8
61,01M034,PS 034 FRANKLIN D ROOSEVELT,3,2014,All Students,32,283,15,46.9,12,37.5,4,12.5,1,3.1,5,15.6
62,01M034,PS 034 FRANKLIN D ROOSEVELT,3,2015,All Students,31,291,14,45.2,9,29.0,6,19.4,2,6.5,8,25.8
63,01M034,PS 034 FRANKLIN D ROOSEVELT,3,2016,All Students,29,304,8,27.6,8,27.6,9,31.0,4,13.8,13,44.8
64,01M034,PS 034 FRANKLIN D ROOSEVELT,3,2017,All Students,28,305,6,21.4,14,50.0,2,7.1,6,21.4,8,28.6
65,01M034,PS 034 FRANKLIN D ROOSEVELT,4,2013,All Students,46,297,16,34.8,17,37.0,8,17.4,5,10.9,13,28.3
66,01M034,PS 034 FRANKLIN D ROOSEVELT,4,2014,All Students,37,297,13,35.1,14,37.8,8,21.6,2,5.4,10,27.0
67,01M034,PS 034 FRANKLIN D ROOSEVELT,4,2015,All Students,30,290,9,30.0,15,50.0,4,13.3,2,6.7,6,20.0
68,01M034,PS 034 FRANKLIN D ROOSEVELT,4,2016,All Students,34,288,14,41.2,13,38.2,6,17.6,1,2.9,7,20.6
69,01M034,PS 034 FRANKLIN D ROOSEVELT,4,2017,All Students,26,276,14,53.8,9,34.6,3,11.5,0,0.0,3,11.5
70,01M034,PS 034 FRANKLIN D ROOSEVELT,5,2013,All Students,30,307,9,30.0,11,36.7,10,33.3,0,0.0,10,33.3
71,01M034,PS 034 FRANKLIN D ROOSEVELT,5,2014,All Students,43,308,10,23.3,19,44.2,10,23.3,4,9.3,14,32.6
72,01M034,PS 034 FRANKLIN D ROOSEVELT,5,2015,All Students,35,295,17,48.6,11,31.4,5,14.3,2,5.7,7,20.0
73,01M034,PS 034 FRANKLIN D ROOSEVELT,5,2016,All Students,29,289,14,48.3,11,37.9,3,10.3,1,3.4,4,13.8
74,01M034,PS 034 FRANKLIN D ROOSEVELT,5,2017,All Students,27,294,14,51.9,8,29.6,5,18.5,0,0.0,5,18.5
75,01M034,PS 034 FRANKLIN D ROOSEVELT,6,2013,All Students,57,303,18,31.6,18,31.6,11,19.3,10,17.5,21,36.8
76,01M034,PS 034 FRANKLIN D ROOSEVELT,6,2014,All Students,41,295,12,29.3,20,48.8,7,17.1,2,4.9,9,22.0
77,01M034,PS 034 FRANKLIN D ROOSEVELT,6,2015,All Students,56,295,19,33.9,23,41.1,11,19.6,3,5.4,14,25.0
78,01M034,PS 034 FRANKLIN D ROOSEVELT,6,2016,All Students,54,285,22,40.7,25,46.3,4,7.4,3,5.6,7,13.0
79,01M034,PS 034 FRANKLIN D ROOSEVELT,6,2017,All Students,29,297,9,31.0,13,44.8,4,13.8,3,10.3,7,24.1
80,01M034,PS 034 FRANKLIN D ROOSEVELT,7,2013,All Students,48,300,17,35.4,21,43.8,10,20.8,0,0.0,10,20.8
81,01M034,PS 034 FRANKLIN D ROOSEVELT,7,2014,All Students,57,305,20,35.1,14,24.6,18,31.6,5,8.8,23,40.4
82,01M034,PS 034 FRANKLIN D ROOSEVELT,7,2015,All Students,43,296,17,39.5,15,34.9,10,23.3,1,2.3,11,25.6
83,01M034,PS 034 FRANKLIN D ROOSEVELT,7,2016,All Students,55,297,23,41.8,21,38.2,8,14.5,3,5.5,11,20.0
84,01M034,PS 034 FRANKLIN D ROOSEVELT,7,2017,All Students,52,286,27,51.9,18,34.6,7,13.5,0,0.0,7,13.5
85,01M034,PS 034 FRANKLIN D ROOSEVELT,8,2013,All Students,44,304,10,22.7,23,52.3,8,18.2,3,6.8,11,25.0
86,01M034,PS 034 FRANKLIN D ROOSEVELT,8,2014,All Students,54,294,19,35.2,23,42.6,10,18.5,2,3.7,12,22.2
87,01M034,PS 034 FRANKLIN D ROOSEVELT,8,2015,All Students,59,298,21,35.6,24,40.7,9,15.3,5,8.5,14,23.7
88,01M034,PS 034 FRANKLIN D ROOSEVELT,8,2016,All Students,48,287,21,43.8,18,37.5,8,16.7,1,2.1,9,18.8
89,01M034,PS 034 FRANKLIN D ROOSEVELT,8,2017,All Students,50,289,18,36.0,24,48.0,7,14.0,1,2.0,8,16.0
90,01M034,PS 034 FRANKLIN D ROOSEVELT,All Grades,2013,All Students,264,300,84,31.8,103,39.0,56,21.2,21,8.0,77,29.2
91,01M034,PS 034 FRANKLIN D ROOSEVELT,All Grades,2014,All Students,264,298,89,33.7,102,38.6,57,21.6,16,6.1,73,27.7
92,01M034,PS 034 FRANKLIN D ROOSEVELT,All Grades,2015,All Students,254,295,97,38.2,97,38.2,45,17.7,15,5.9,60,23.6
93,01M034,PS 034 FRANKLIN D ROOSEVELT,All Grades,2016,All Students,249,291,102,41.0,96,38.6,38,15.3,13,5.2,51,20.5
94,01M034,PS 034 FRANKLIN D ROOSEVELT,All Grades,2017,All Students,212,291,88,41.5,86,40.6,28,13.2,10,4.7,38,17.9
98,01M063,THE STAR ACADEMY  PS63,3,2016,All Students,21,310,3,14.3,7,33.3,6,28.6,5,23.8,11,52.4
99,01M063,THE STAR ACADEMY  PS63,3,2017,All Students,26,303,5,19.2,11,42.3,8,30.8,2,7.7,10,38.5
100,01M063,THE STAR ACADEMY  PS63,4,2013,All Students,21,276,10,47.6,8,38.1,3,14.3,0,0.0,3,14.3
105,01M063,THE STAR ACADEMY  PS63,5,2013,All Students,22,299,9,40.9,10,45.5,1,4.5,2,9.1,3,13.6
110,01M063,THE STAR ACADEMY  PS63,All Grades,2013,All Students,62,286,27,43.5,25,40.3,7,11.3,3,4.8,10,16.1
111,01M063,THE STAR ACADEMY  PS63,All Grades,2014,All Students,53,301,14,26.4,22,41.5,11,20.8,6,11.3,17,32.1
112,01M063,THE STAR ACADEMY  PS63,All Grades,2015,All Students,50,300,15,30.0,19,38.0,12,24.0,4,8.0,16,32.0
113,01M063,THE STAR ACADEMY  PS63,All Grades,2016,All Students,48,311,7,14.6,19,39.6,12,25.0,10,20.8,22,45.8
114,01M063,THE STAR ACADEMY  PS63,All Grades,2017,All Students,65,309,14,21.5,23,35.4,19,29.2,9,13.8,28,43.1
115,01M064,PS 064 ROBERT SIMON,3,2013,All Students,32,275,20,62.5,10,31.3,2,6.3,0,0.0,2,6.3
116,01M064,PS 064 ROBERT SIMON,3,2014,All Students,43,298,10,23.3,23,53.5,9,20.9,1,2.3,10,23.3
117,01M064,PS 064 ROBERT SIMON,3,2015,All Students,40,302,9,22.5,18,45.0,8,20.0,5,12.5,13,32.5
118,01M064,PS 064 ROBERT SIMON,3,2016,All Students,31,293,10,32.3,13,41.9,4,12.9,4,12.9,8,25.8
119,01M064,PS 064 ROBERT SIMON,3,2017,All Students,27,299,9,33.3,6,22.2,10,37.0,2,7.4,12,44.4
120,01M064,PS 064 ROBERT SIMON,4,2013,All Students,41,280,20,48.8,19,46.3,2,4.9,0,0.0,2,4.9
121,01M064,PS 064 ROBERT SIMON,4,2014,All Students,32,290,13,40.6,10,31.3,7,21.9,2,6.3,9,28.1
122,01M064,PS 064 ROBERT SIMON,4,2015,All Students,41,298,10,24.4,18,43.9,9,22.0,4,9.8,13,31.7
123,01M064,PS 064 ROBERT SIMON,4,2016,All Students,40,293,16,40.0,11,27.5,9,22.5,4,10.0,13,32.5
124,01M064,PS 064 ROBERT SIMON,4,2017,All Students,30,299,9,30.0,12,40.0,6,20.0,3,10.0,9,30.0
125,01M064,PS 064 ROBERT SIMON,5,2013,All Students,39,290,18,46.2,14,35.9,5,12.8,2,5.1,7,17.9
126,01M064,PS 064 ROBERT SIMON,5,2014,All Students,38,292,16,42.1,16,42.1,6,15.8,0,0.0,6,15.8
127,01M064,PS 064 ROBERT SIMON,5,2015,All Students,38,287,22,57.9,11,28.9,4,10.5,1,2.6,5,13.2
128,01M064,PS 064 ROBERT SIMON,5,2016,All Students,44,299,17,38.6,12,27.3,10,22.7,5,11.4,15,34.1
129,01M064,PS 064 ROBERT SIMON,5,2017,All Students,44,295,20,45.5,12,27.3,10,22.7,2,4.5,12,27.3
130,01M064,PS 064 ROBERT SIMON,All Grades,2013,All Students,112,282,58,51.8,43,38.4,9,8.0,2,1.8,11,9.8
131,01M064,PS 064 ROBERT SIMON,All Grades,2014,All Students,113,294,39,34.5,49,43.4,22,19.5,3,2.7,25,22.1
132,01M064,PS 064 ROBERT SIMON,All Grades,2015,All Students,119,296,41,34.5,47,39.5,21,17.6,10,8.4,31,26.1
133,01M064,PS 064 ROBERT SIMON,All Grades,2016,All Students,115,295,43,37.4,36,31.3,23,20.0,13,11.3,36,31.3
134,01M064,PS 064 ROBERT SIMON,All Grades,2017,All Students,101,297,38,37.6,30,29.7,26,25.7,7,6.9,33,32.7
135,01M110,PS 110 FLORENCE NIGHTINGALE,3,2013,All Students,54,322,10,18.5,9,16.7,19,35.2,16,29.6,35,64.8
136,01M110,PS 110 FLORENCE NIGHTINGALE,3,2014,All Students,69,319,11,15.9,18,26.1,20,29.0,20,29.0,40,58.0
137,01M110,PS 110 FLORENCE NIGHTINGALE,3,2015,All Students,50,319,9,18.0,10,20.0,14,28.0,17,34.0,31,62.0
138,01M110,PS 110 FLORENCE NIGHTINGALE,3,2016,All Students,81,329,7,8.6,22,27.2,15,18.5,37,45.7,52,64.2
139,01M110,PS 110 FLORENCE NIGHTINGALE,3,2017,All Students,59,339,4,6.8,7,11.9,16,27.1,32,54.2,48,81.4
140,01M110,PS 110 FLORENCE NIGHTINGALE,4,2013,All Students,48,320,7,14.6,10,20.8,16,33.3,15,31.3,31,64.6
141,01M110,PS 110 FLORENCE NIGHTINGALE,4,2014,All Students,53,319,10,18.9,9,17.0,16,30.2,18,34.0,34,64.2
142,01M110,PS 110 FLORENCE NIGHTINGALE,4,2015,All Students,64,326,7,10.9,17,26.6,16,25.0,24,37.5,40,62.5
143,01M110,PS 110 FLORENCE NIGHTINGALE,4,2016,All Students,49,329,7,14.3,7,14.3,12,24.5,23,46.9,35,71.4
144,01M110,PS 110 FLORENCE NIGHTINGALE,4,2017,All Students,72,337,7,9.7,10,13.9,14,19.4,41,56.9,55,76.4
145,01M110,PS 110 FLORENCE NIGHTINGALE,5,2013,All Students,65,324,15,23.1,18,27.7,12,18.5,20,30.8,32,49.2
146,01M110,PS 110 FLORENCE NIGHTINGALE,5,2014,All Students,45,326,7,15.6,11,24.4,10,22.2,17,37.8,27,60.0
147,01M110,PS 110 FLORENCE NIGHTINGALE,5,2015,All Students,53,330,9,17.0,10,18.9,10,18.9,24,45.3,34,64.2
148,01M110,PS 110 FLORENCE NIGHTINGALE,5,2016,All Students,65,319,21,32.3,10,15.4,16,24.6,18,27.7,34,52.3
149,01M110,PS 110 FLORENCE NIGHTINGALE,5,2017,All Students,45,335,6,13.3,4,8.9,14,31.1,21,46.7,35,77.8
150,01M110,PS 110 FLORENCE NIGHTINGALE,All Grades,2013,All Students,167,322,32,19.2,37,22.2,47,28.1,51,30.5,98,58.7
151,01M110,PS 110 FLORENCE NIGHTINGALE,All Grades,2014,All Students,167,321,28,16.8,38,22.8,46,27.5,55,32.9,101,60.5
152,01M110,PS 110 FLORENCE NIGHTINGALE,All Grades,2015,All Students,167,325,25,15.0,37,22.2,40,24.0,65,38.9,105,62.9
153,01M110,PS 110 FLORENCE NIGHTINGALE,All Grades,2016,All Students,195,326,35,17.9,39,20.0,43,22.1,78,40.0,121,62.1
154,01M110,PS 110 FLORENCE NIGHTINGALE,All Grades,2017,All Students,176,337,17,9.7,21,11.9,44,25.0,94,53.4,138,78.4
155,01M134,PS 134 HENRIETTA SZOLD,3,2013,All Students,51,304,11,21.6,24,47.1,14,27.5,2,3.9,16,31.4
156,01M134,PS 134 HENRIETTA SZOLD,3,2014,All Students,44,303,8,18.2,21,47.7,10,22.7,5,11.4,15,34.1
157,01M134,PS 134 HENRIETTA SZOLD,3,2015,All Students,44,297,18,40.9,12,27.3,6,13.6,8,18.2,14,31.8
158,01M134,PS 134 HENRIETTA SZOLD,3,2016,All Students,36,298,12,33.3,12,33.3,6,16.7,6,16.7,12,33.3
159,01M134,PS 134 HENRIETTA SZOLD,3,2017,All Students,49,281,19,38.8,18,36.7,9,18.4,3,6.1,12,24.5
160,01M134,PS 134 HENRIETTA SZOLD,4,2013,All Students,61,294,20,32.8,24,39.3,14,23.0,3,4.9,17,27.9
161,01M134,PS 134 HENRIETTA SZOLD,4,2014,All Students,41,306,7,17.1,17,41.5,13,31.7,4,9.8,17,41.5
162,01M134,PS 134 HENRIETTA SZOLD,4,2015,All Students,35,298,11,31.4,11,31.4,6,17.1,7,20.0,13,37.1
163,01M134,PS 134 HENRIETTA SZOLD,4,2016,All Students,43,285,24,55.8,5,11.6,8,18.6,6,14.0,14,32.6
164,01M134,PS 134 HENRIETTA SZOLD,4,2017,All Students,49,286,22,44.9,15,30.6,9,18.4,3,6.1,12,24.5
165,01M134,PS 134 HENRIETTA SZOLD,5,2013,All Students,39,296,17,43.6,14,35.9,6,15.4,2,5.1,8,20.5
166,01M134,PS 134 HENRIETTA SZOLD,5,2014,All Students,53,301,17,32.1,22,41.5,10,18.9,4,7.5,14,26.4
167,01M134,PS 134 HENRIETTA SZOLD,5,2015,All Students,39,313,7,17.9,13,33.3,17,43.6,2,5.1,19,48.7
168,01M134,PS 134 HENRIETTA SZOLD,5,2016,All Students,34,319,7,20.6,6,17.6,14,41.2,7,20.6,21,61.8
169,01M134,PS 134 HENRIETTA SZOLD,5,2017,All Students,63,288,36,57.1,11,17.5,10,15.9,6,9.5,16,25.4
170,01M134,PS 134 HENRIETTA SZOLD,All Grades,2013,All Students,151,298,48,31.8,62,41.1,34,22.5,7,4.6,41,27.2
171,01M134,PS 134 HENRIETTA SZOLD,All Grades,2014,All Students,138,303,32,23.2,60,43.5,33,23.9,13,9.4,46,33.3
172,01M134,PS 134 HENRIETTA SZOLD,All Grades,2015,All Students,118,303,36,30.5,36,30.5,29,24.6,17,14.4,46,39.0
173,01M134,PS 134 HENRIETTA SZOLD,All Grades,2016,All Students,113,299,43,38.1,23,20.4,28,24.8,19,16.8,47,41.6
174,01M134,PS 134 HENRIETTA SZOLD,All Grades,2017,All Students,161,285,77,47.8,44,27.3,28,17.4,12,7.5,40,24.8
175,01M137,PS 137 JOHN L BERNSTEIN,3,2013,All Students,28,280,16,57.1,9,32.1,2,7.1,1,3.6,3,10.7
176,01M137,PS 137 JOHN L BERNSTEIN,3,2014,All Students,36,266,24,66.7,9,25.0,3,8.3,0,0.0,3,8.3
177,01M137,PS 137 JOHN L BERNSTEIN,3,2015,All Students,27,287,14,51.9,6,22.2,6,22.2,1,3.7,7,25.9
179,01M137,PS 137 JOHN L BERNSTEIN,4,2013,All Students,24,270,15,62.5,8,33.3,1,4.2,0,0.0,1,4.2
180,01M137,PS 137 JOHN L BERNSTEIN,4,2014,All Students,26,280,16,61.5,6,23.1,2,7.7,2,7.7,4,15.4
181,01M137,PS 137 JOHN L BERNSTEIN,4,2015,All Students,35,269,24,68.6,9,25.7,2,5.7,0,0.0,2,5.7
182,01M137,PS 137 JOHN L BERNSTEIN,4,2016,All Students,23,278,14,60.9,3,13.0,4,17.4,2,8.7,6,26.1
183,01M137,PS 137 JOHN L BERNSTEIN,5,2013,All Students,23,278,16,69.6,7,30.4,0,0.0,0,0.0,0,0.0
184,01M137,PS 137 JOHN L BERNSTEIN,5,2014,All Students,23,270,14,60.9,8,34.8,1,4.3,0,0.0,1,4.3
185,01M137,PS 137 JOHN L BERNSTEIN,5,2015,All Students,23,295,15,65.2,3,13.0,3,13.0,2,8.7,5,21.7
186,01M137,PS 137 JOHN L BERNSTEIN,5,2016,All Students,30,267,20,66.7,8,26.7,2,6.7,0,0.0,2,6.7
187,01M137,PS 137 JOHN L BERNSTEIN,All Grades,2013,All Students,75,276,47,62.7,24,32.0,3,4.0,1,1.3,4,5.3
188,01M137,PS 137 JOHN L BERNSTEIN,All Grades,2014,All Students,85,271,54,63.5,23,27.1,6,7.1,2,2.4,8,9.4
189,01M137,PS 137 JOHN L BERNSTEIN,All Grades,2015,All Students,85,282,53,62.4,18,21.2,11,12.9,3,3.5,14,16.5
190,01M137,PS 137 JOHN L BERNSTEIN,All Grades,2016,All Students,73,271,48,65.8,15,20.5,8,11.0,2,2.7,10,13.7
191,01M140,PS 140 NATHAN STRAUS,3,2013,All Students,31,273,18,58.1,12,38.7,1,3.2,0,0.0,1,3.2
192,01M140,PS 140 NATHAN STRAUS,3,2014,All Students,26,270,19,73.1,6,23.1,1,3.8,0,0.0,1,3.8
193,01M140,PS 140 NATHAN STRAUS,3,2015,All Students,30,275,15,50.0,10,33.3,5,16.7,0,0.0,5,16.7
194,01M140,PS 140 NATHAN STRAUS,3,2016,All Students,28,275,17,60.7,9,32.1,2,7.1,0,0.0,2,7.1
195,01M140,PS 140 NATHAN STRAUS,3,2017,All Students,24,268,15,62.5,6,25.0,2,8.3,1,4.2,3,12.5
196,01M140,PS 140 NATHAN STRAUS,4,2013,All Students,25,282,14,56.0,10,40.0,0,0.0,1,4.0,1,4.0
197,01M140,PS 140 NATHAN STRAUS,4,2014,All Students,31,289,9,29.0,16,51.6,6,19.4,0,0.0,6,19.4
198,01M140,PS 140 NATHAN STRAUS,4,2015,All Students,24,276,13,54.2,7,29.2,3,12.5,1,4.2,4,16.7
199,01M140,PS 140 NATHAN STRAUS,4,2016,All Students,32,278,16,50.0,12,37.5,3,9.4,1,3.1,4,12.5
200,01M140,PS 140 NATHAN STRAUS,4,2017,All Students,28,268,22,78.6,6,21.4,0,0.0,0,0.0,0,0.0
201,01M140,PS 140 NATHAN STRAUS,5,2013,All Students,25,261,23,92.0,2,8.0,0,0.0,0,0.0,0,0.0
202,01M140,PS 140 NATHAN STRAUS,5,2014,All Students,24,281,17,70.8,5,20.8,2,8.3,0,0.0,2,8.3
203,01M140,PS 140 NATHAN STRAUS,5,2015,All Students,25,306,4,16.0,14,56.0,6,24.0,1,4.0,7,28.0
204,01M140,PS 140 NATHAN STRAUS,5,2016,All Students,21,286,13,61.9,5,23.8,3,14.3,0,0.0,3,14.3
205,01M140,PS 140 NATHAN STRAUS,5,2017,All Students,29,286,17,58.6,9,31.0,2,6.9,1,3.4,3,10.3
206,01M140,PS 140 NATHAN STRAUS,6,2013,All Students,58,291,22,37.9,26,44.8,9,15.5,1,1.7,10,17.2
207,01M140,PS 140 NATHAN STRAUS,6,2014,All Students,58,291,23,39.7,19,32.8,14,24.1,2,3.4,16,27.6
208,01M140,PS 140 NATHAN STRAUS,6,2015,All Students,50,290,20,40.0,22,44.0,5,10.0,3,6.0,8,16.0
209,01M140,PS 140 NATHAN STRAUS,6,2016,All Students,56,302,11,19.6,27,48.2,13,23.2,5,8.9,18,32.1
210,01M140,PS 140 NATHAN STRAUS,6,2017,All Students,48,286,21,43.8,18,37.5,5,10.4,4,8.3,9,18.8
211,01M140,PS 140 NATHAN STRAUS,7,2013,All Students,63,278,44,69.8,15,23.8,4,6.3,0,0.0,4,6.3
212,01M140,PS 140 NATHAN STRAUS,7,2014,All Students,57,291,26,45.6,22,38.6,8,14.0,1,1.8,9,15.8
213,01M140,PS 140 NATHAN STRAUS,7,2015,All Students,56,293,23,41.1,26,46.4,6,10.7,1,1.8,7,12.5
214,01M140,PS 140 NATHAN STRAUS,7,2016,All Students,46,283,25,54.3,17,37.0,3,6.5,1,2.2,4,8.7
215,01M140,PS 140 NATHAN STRAUS,7,2017,All Students,57,291,27,47.4,22,38.6,8,14.0,0,0.0,8,14.0
216,01M140,PS 140 NATHAN STRAUS,8,2013,All Students,52,282,30,57.7,19,36.5,3,5.8,0,0.0,3,5.8
217,01M140,PS 140 NATHAN STRAUS,8,2014,All Students,61,280,37,60.7,17,27.9,5,8.2,2,3.3,7,11.5
218,01M140,PS 140 NATHAN STRAUS,8,2015,All Students,58,285,28,48.3,26,44.8,4,6.9,0,0.0,4,6.9
219,01M140,PS 140 NATHAN STRAUS,8,2016,All Students,61,282,30,49.2,23,37.7,6,9.8,2,3.3,8,13.1
220,01M140,PS 140 NATHAN STRAUS,8,2017,All Students,49,277,28,57.1,15,30.6,5,10.2,1,2.0,6,12.2
221,01M140,PS 140 NATHAN STRAUS,All Grades,2013,All Students,254,280,151,59.4,84,33.1,17,6.7,2,0.8,19,7.5
222,01M140,PS 140 NATHAN STRAUS,All Grades,2014,All Students,257,285,131,51.0,85,33.1,36,14.0,5,1.9,41,16.0
223,01M140,PS 140 NATHAN STRAUS,All Grades,2015,All Students,243,288,103,42.4,105,43.2,29,11.9,6,2.5,35,14.4
